yyyymm,state,n_stocks
201011,Loose (NFCI le 0),5662
201012,Loose (NFCI le 0),5673
201101,Loose (NFCI le 0),5676
201102,Loose (NFCI le 0),5666
201103,Loose (NFCI le 0),5638
201104,Loose (NFCI le 0),5639
201105,Loose (NFCI le 0),5627
201106,Loose (NFCI le 0),5615
201107,Loose (NFCI le 0),5627
201108,Loose (NFCI le 0),5623
201109,Loose (NFCI le 0),5608
201110,Loose (NFCI le 0),5586
201111,Loose (NFCI le 0),5583
201112,Loose (NFCI le 0),5570
201201,Loose (NFCI le 0),5561
201202,Loose (NFCI le 0),5575
201203,Loose (NFCI le 0),5577
201204,Loose (NFCI le 0),5574
201205,Loose (NFCI le 0),5574
201206,Loose (NFCI le 0),5545
201207,Loose (NFCI le 0),5526
201208,Loose (NFCI le 0),5521
201209,Loose (NFCI le 0),5483
201210,Loose (NFCI le 0),5500
201211,Loose (NFCI le 0),5479
201212,Loose (NFCI le 0),5479
201301,Loose (NFCI le 0),5467
201302,Loose (NFCI le 0),5466
201303,Loose (NFCI le 0),5448
201304,Loose (NFCI le 0),5447
201305,Loose (NFCI le 0),5469
201306,Loose (NFCI le 0),5473
201307,Loose (NFCI le 0),5492
201308,Loose (NFCI le 0),5503
201309,Loose (NFCI le 0),5516
201310,Loose (NFCI le 0),5521
201311,Loose (NFCI le 0),5542
201312,Loose (NFCI le 0),5553
201401,Loose (NFCI le 0),5555
201402,Loose (NFCI le 0),5570
201403,Loose (NFCI le 0),5598
201404,Loose (NFCI le 0),5619
201405,Loose (NFCI le 0),5634
201406,Loose (NFCI le 0),5655
201407,Loose (NFCI le 0),5689
201408,Loose (NFCI le 0),5695
201409,Loose (NFCI le 0),5699
201410,Loose (NFCI le 0),5718
201411,Loose (NFCI le 0),5736
201412,Loose (NFCI le 0),5747
201501,Loose (NFCI le 0),5736
201502,Loose (NFCI le 0),5730
201503,Loose (NFCI le 0),5724
201504,Loose (NFCI le 0),5738
201505,Loose (NFCI le 0),5751
201506,Loose (NFCI le 0),5777
201507,Loose (NFCI le 0),5799
201508,Loose (NFCI le 0),5797
201509,Loose (NFCI le 0),5777
201510,Loose (NFCI le 0),5789
201511,Loose (NFCI le 0),5787
201512,Loose (NFCI le 0),5770
201601,Loose (NFCI le 0),5752
201602,Loose (NFCI le 0),5735
201603,Loose (NFCI le 0),5722
201604,Loose (NFCI le 0),5703
201605,Loose (NFCI le 0),5702
