feature,mean_std,mean_wt,mean_diff,t_stat,p_value,significant,category,model
ChAssetTurnover,6.335951723505016e-06,6.211174400879597e-06,-1.247773226254181e-07,-0.16956671439556714,0.8654659510828416,False,other,xgboost
hire,1.7163212179311035e-05,1.693674299091973e-05,-2.2646918839130533e-07,-0.09591156981607052,0.9236552714500518,False,tradable,xgboost
Size,0.0003817446373795518,0.00020056798588129166,-0.00018117665149826014,-26.11435424300663,5.137768894932442e-79,True,illiquidity,random_forest
AssetGrowth,0.0002834896792222292,0.00015549881599482388,-0.00012799086322740533,-20.361385977545222,2.3254591781121075e-58,True,tradable,random_forest
Price,0.0005317979474776281,0.0002919682379634119,-0.00023982970951421618,-20.007695234888814,4.7802740986150817e-57,True,illiquidity,random_forest
STreversal,0.0003495500209263952,0.00011724668620722325,-0.00023230333471917195,-17.8458873967269,5.851785970623342e-49,True,tradable,random_forest
ChTax,0.00019862065009013116,9.475079573783431e-05,-0.00010386985435229683,-14.767416863902987,2.057671600520643e-37,True,other,random_forest
DelEqu,0.00011543364004293469,8.157385338756297e-05,-3.385978665537171e-05,-9.276729020892581,3.694385281732625e-18,True,other,random_forest
RevenueSurprise,5.243414351969802e-05,3.0200867190867142e-05,-2.2233276328830872e-05,-9.244233519391985,4.679258726748128e-18,True,tradable,random_forest
VolSD,5.329594207456389e-05,3.1607991824224025e-05,-2.1687950250339852e-05,-8.920703072784347,4.801488731010129e-17,True,illiquidity,random_forest
CBOperProf,7.237554467520264e-05,9.478073307751096e-05,2.2405188402308325e-05,8.717148743114299,2.0292305744547807e-16,True,tradable,random_forest
AM,0.00025900099434298453,0.00019510473049842077,-6.389626384456376e-05,-8.68130962114729,2.6103208533085733e-16,True,other,random_forest
zerotrade1M,6.335854633762962e-05,8.467149211091163e-05,2.1312945773282006e-05,8.623981156847247,3.90026633879709e-16,True,illiquidity,random_forest
BidAskSpread,0.0001605233539608174,0.00021039403231576585,4.987067835494849e-05,8.384191782831602,2.057179052530691e-15,True,illiquidity,random_forest
TotalAccruals,4.323229917429974e-05,2.6759139255245518e-05,-1.6473159919054222e-05,-8.201334129556543,7.175729268756736e-15,True,tradable,random_forest
dNoa,0.00012017843014939265,9.270812493424792e-05,-2.747030521514475e-05,-8.014344842025547,2.5305214417056036e-14,True,tradable,random_forest
EquityDuration,6.962430902372745e-05,4.892278007062384e-05,-2.0701528953103598e-05,-7.978281815697261,3.220173447889e-14,True,tradable,random_forest
DolVol,9.542246472702347e-05,6.529248570501971e-05,-3.0129979022003765e-05,-7.682390812911662,2.2671599204087497e-13,True,illiquidity,random_forest
Mom12mOffSeason,0.0001506010754801499,0.00020545468518863908,5.4853609708489166e-05,7.582214368457506,4.3433593749849576e-13,True,tradable,random_forest
AnnouncementReturn,0.00012720001987357772,9.269736228425033e-05,-3.450265758932737e-05,-7.552579684782907,5.258872400711484e-13,True,tradable,random_forest
EarningsSurprise,5.4982545958425146e-05,3.810215677566341e-05,-1.6880389182761733e-05,-7.501395763835303,7.309142939578572e-13,True,tradable,random_forest
LRreversal,0.00022007001170611728,0.0001747672773979194,-4.5302734308197893e-05,-7.307407143517465,2.5116614253390684e-12,True,tradable,random_forest
Herf,6.0481654431953005e-05,8.266487079316744e-05,2.218321636121444e-05,6.78097472724741,6.411962569088595e-11,True,other,random_forest
ChAssetTurnover,1.4241508412600393e-05,7.571541480322956e-06,-6.669966932277438e-06,-6.775543597415659,6.624163990027654e-11,True,other,random_forest
zerotrade6M,9.772339888093273e-05,0.00011931111181599785,2.1587712935065135e-05,6.572681149012076,2.20602714136164e-10,True,illiquidity,random_forest
cfp,0.0002315445569525233,0.0002758572509643077,4.431269401178442e-05,6.450197440798556,4.504456826820232e-10,True,tradable,random_forest
BPEBM,6.195910608205195e-05,4.8217993845565194e-05,-1.3741112236486766e-05,-6.279884459180042,1.196205387308673e-09,True,tradable,random_forest
IndMom,0.0004057970692640288,0.00046590023047499987,6.010316121097104e-05,6.248588406976291,1.4284320072506252e-09,True,tradable,random_forest
hire,7.550027841498965e-05,5.11873573870356e-05,-2.4312921027954055e-05,-6.050458225971149,4.32683935904328e-09,True,tradable,random_forest
OPLeverage,0.0001230437492969267,0.00010135994370366014,-2.168380559326659e-05,-5.777123437679338,1.911528582786976e-08,True,tradable,random_forest
ResidualMomentum,5.188836483478877e-05,4.204743528392302e-05,-9.84092955086575e-06,-5.697343813977687,2.9208499445262926e-08,True,tradable,random_forest
ReturnSkew,9.945083586286607e-06,7.587045678973311e-06,-2.3580379073132973e-06,-5.558739004913267,6.036990004941167e-08,True,other,random_forest
NOA,0.0001299581451616418,0.00010815878762216371,-2.179935753947807e-05,-5.362071350239924,1.6523079650580274e-07,True,tradable,random_forest
ChEQ,6.897540229794612e-05,5.62725238356741e-05,-1.270287846227201e-05,-5.209789152849976,3.5349282910897583e-07,True,other,random_forest
IdioVol3F,0.00020267935951361142,0.0002460440468777926,4.336468736418116e-05,5.112504198976245,5.695619359839848e-07,True,illiquidity,random_forest
DelLTI,0.0006266966952406756,0.0007139119974045183,8.721530216384249e-05,4.795898086629212,2.562240785359231e-06,True,other,random_forest
IdioVolAHT,0.00024012484649608686,0.0002786923523740845,3.8567505877997626e-05,4.584055221483737,6.717965791138582e-06,True,illiquidity,random_forest
GP,8.044639363779983e-05,9.417881659633166e-05,1.3732422958531814e-05,4.221482626196333,3.2264675929676666e-05,True,tradable,random_forest
ReturnSkew3F,7.041407239785415e-06,5.58613618695302e-06,-1.4552710528323963e-06,-4.046731871079247,6.624077401914957e-05,True,other,random_forest
CF,0.0002099745273787451,0.00023139604461000374,2.142151723125867e-05,3.84830079660316,0.000145539289623446,True,tradable,random_forest
InvestPPEInv,4.2360597609242665e-05,3.544470691862108e-05,-6.915890690621583e-06,-3.83310251892866,0.00015438127618014848,True,tradable,random_forest
IndIPO,0.0032621291147952127,0.0030701674198932594,-0.0001919616949019529,-3.813678249157131,0.0001664228152652689,True,other,random_forest
zerotrade12M,8.283194964882458e-05,7.414246357460669e-05,-8.68948607421789e-06,-3.5350377663068753,0.00047251433883608045,True,illiquidity,random_forest
MaxRet,0.0002170113778924464,0.00023679317901478532,1.97818011223389e-05,3.323204891683053,0.001000927406763961,True,illiquidity,random_forest
MomSeasonShort,4.491739758239768e-05,5.156269869919489e-05,6.645301116797219e-06,3.2582453609099287,0.0012506344244651289,True,tradable,random_forest
