feature,d_bar,std_err,t_stat,p_value,n_obs,abs_d_bar
Beta,-0.04141920979767572,0.006303378519482622,-6.570953920926105,4.9993930536063534e-11,635,0.04141920979767572
DelBreadth,0.0385985433443779,0.0050008790698653745,7.718351674802044,1.1784368788226783e-14,635,0.0385985433443779
TotalAccruals,-0.0382438935694619,0.0028350915850307522,-13.489473769168226,1.8038342025066228e-41,635,0.0382438935694619
cfp,0.038135828675404444,0.0037285601883528044,10.228030861492412,1.4850826407730871e-24,635,0.038135828675404444
MomSeason,0.03798642911764881,0.002985009495751401,12.725731416169811,4.254718441101116e-37,635,0.03798642911764881
MomSeasonShort,0.03703764784124722,0.0028070758518924342,13.194387966494638,9.451940115243132e-40,635,0.03703764784124722
OrgCap,-0.03689609260198339,0.0011694353447683065,-31.550348437000082,1.773453815036458e-218,635,0.03689609260198339
grcapx,-0.03564640457728133,0.003019644028431222,-11.804836676659699,3.685057923764748e-32,635,0.03564640457728133
RIVolSpread,-0.03526427204816047,0.00401584614406203,-8.781280652473066,1.6162369197143787e-18,635,0.03526427204816047
DelCOA,-0.03507085756751509,0.0031117538663302884,-11.270447173533805,1.8363487855508754e-29,635,0.03507085756751509
STreversal,-0.03487067732726469,0.0030894922255939737,-11.28686359473217,1.5237746675850066e-29,635,0.03487067732726469
GP,0.034170073283565805,0.003734029982569099,9.150990603470197,5.64138356070523e-20,635,0.034170073283565805
RD,-0.03313635629725482,0.004574028759328009,-7.244457357133676,4.341739841218825e-13,635,0.03313635629725482
Herf,-0.031240413122575396,0.0023848535159180745,-13.099510269312734,3.3138900361811125e-39,635,0.031240413122575396
CompositeDebtIssuance,-0.030945815442278923,0.002271507741020902,-13.62346906569233,2.904370418828384e-42,635,0.030945815442278923
ChInv,-0.030206962719547602,0.00292060591081342,-10.34270409701891,4.516111515801242e-25,635,0.030206962719547602
CoskewACX,0.029820873170104012,0.014871891413710911,2.0051836273233623,0.04494341975802903,635,0.029820873170104012
ChInvIA,-0.02908280769219395,0.002566143876046416,-11.33327244963404,8.978625723733421e-30,635,0.02908280769219395
DelLTI,-0.028846152786233495,0.0023047996652509404,-12.515687684765783,6.127487906709984e-36,635,0.028846152786233495
HerfBE,-0.028324350969139947,0.0019131092127182287,-14.805402002583783,1.3517644130060711e-49,635,0.028324350969139947
Investment,-0.027553274596088792,0.0027595886672472955,-9.984558540593419,1.780920514307988e-23,635,0.027553274596088792
Accruals,0.027469244485083703,0.0026899780684062897,10.211698306283289,1.757611544269082e-24,635,0.027469244485083703
AbnormalAccruals,0.026361086567295654,0.0022279153564361276,11.832175980627927,2.6615142835506653e-32,635,0.026361086567295654
BetaTailRisk,-0.025352140038897467,0.0062365423665022655,-4.065095456589689,4.801280703955081e-05,635,0.025352140038897467
MomOffSeason16YrPlus,-0.025020002675359043,0.004307675617091648,-5.808237411398085,6.3133950516549024e-09,635,0.025020002675359043
