yyyymm,R2,N_stocks,N_features
197812,0.8859735263630516,4818,143
197901,0.914491650397785,4811,143
197902,0.9108791393903459,4812,143
197903,0.9046640253841751,4815,143
197904,0.8892686178336656,4801,143
197905,0.8834926701833374,4794,143
197906,0.8621886439025359,4793,143
197907,0.902126728286522,4783,143
197908,0.8843347631708163,4785,143
197909,0.8882148924689351,4793,143
197910,0.8855137397300157,4794,143
197911,0.9003351399716369,4784,143
197912,0.8734205618466353,4775,143
198001,0.8819822626264442,4796,143
198002,0.9149357094818176,4799,143
198003,0.9149242101443218,4808,143
198004,0.892992854031623,4800,143
198005,0.8993053597528234,4806,143
198006,0.9107978385279668,4832,143
198007,0.9152465392616977,4841,143
198008,0.8881885992999373,4845,143
198009,0.8863772365089732,4890,143
198010,0.908306889558046,4907,143
198011,0.9074232183961604,4943,143
198012,0.9196529486546409,4972,143
198101,0.9166581115610252,4993,143
198102,0.914732401213967,5015,143
198103,0.9114952892169964,5049,143
198104,0.9022266959011905,5115,143
198105,0.8955817417830523,5163,143
198106,0.866756343818062,5214,143
198107,0.9007555912089521,5267,143
198108,0.9125972323562255,5275,143
198109,0.9199802749954602,5310,143
198110,0.8798794996037625,5339,143
198111,0.8890725952582205,5340,143
198112,0.9086700629029477,5371,143
198201,0.8954152734093896,5386,143
198202,0.898307259049285,5366,143
198203,0.896807888598244,5345,143
198204,0.8927774106643781,5339,143
198205,0.8957584714610641,5327,143
198206,0.8422391662156039,5309,143
198207,0.8949397555970225,5328,143
198208,0.8977564966847642,5295,143
198209,0.8716609781334116,5273,143
198210,0.8850688693523248,5271,143
198211,0.8109115965074561,5466,143
198212,0.7947397108845914,5487,143
198301,0.8537111281462129,5492,143
198302,0.86144519804208,5498,143
198303,0.8362327333363995,5541,143
198304,0.8524037103110471,5575,143
198305,0.8294866105756625,5605,143
198306,0.854290491553559,5696,143
198307,0.8534504304091458,5753,143
198308,0.8306958712163269,5838,143
198309,0.8601397415879442,5898,143
198310,0.8473138115134912,5991,143
198311,0.8538033539680064,6056,143
198312,0.8574353885382685,6143,143
198401,0.8575351502288356,6174,143
198402,0.8554513862012207,6218,143
198403,0.8454948847650505,6264,143
198404,0.8508235766127159,6274,143
198405,0.8475632528368179,6279,143
198406,0.8543498975353839,6296,143
198407,0.8349918624396464,6311,143
198408,0.8532032266693761,6289,143
198409,0.8353714283662662,6269,143
198410,0.8476478987774163,6259,143
198411,0.8530553734271363,6271,143
198412,0.868254097680931,6254,143
198501,0.8763141283002693,6262,143
198502,0.8746743745351547,6246,143
198503,0.8616520657621063,6247,143
198504,0.867995899433627,6231,143
198505,0.8772080118227374,6233,143
198506,0.8625250659535488,6242,143
198507,0.8735175470599655,6241,143
198508,0.8513730126556691,6250,143
198509,0.8546874487174848,6251,143
198510,0.8583275459356037,6255,143
198511,0.8741820224311643,6259,143
198512,0.883712992270391,6242,143
198601,0.8814810323275959,6236,143
198602,0.8817438807603142,6244,143
198603,0.8876238125290351,6257,143
198604,0.8679781576981376,6275,143
198605,0.8782869650442907,6321,143
198606,0.8594734574690734,6390,143
198607,0.8723312288595955,6453,143
198608,0.871074354538576,6488,143
198609,0.8756717365831764,6514,143
198610,0.8648269727967752,6549,143
198611,0.8643175984933829,6546,143
198612,0.8830610347962653,6604,143
198701,0.8695776179243603,6659,143
198702,0.8586085943268165,6713,143
198703,0.8582611552381245,6778,143
198704,0.8784512770762485,6830,143
198705,0.8584793181179993,6890,143
198706,0.8480280619112107,6961,143
198707,0.830524087210629,7039,143
198708,0.8526815901865453,7103,143
198709,0.832260921699568,7134,143
198710,0.8594417710766082,7141,143
198711,0.8628671350850636,7121,143
198712,0.8634724932169529,7116,143
198801,0.8365551195803271,7080,143
198802,0.8664064541963482,7067,143
198803,0.8448148615140171,7049,143
198804,0.8356364221907178,7018,143
198805,0.8310052046117105,7011,143
198806,0.8379955228972463,7023,143
198807,0.8447865700411945,6999,143
198808,0.8292487882594047,6978,143
198809,0.8469310351391983,6974,143
198810,0.8346409396416193,6973,143
198811,0.8517364811844437,6921,143
198812,0.8528353223736889,6907,143
198901,0.8542893342265385,6904,143
198902,0.841967533094222,6881,143
198903,0.8494257290753336,6875,143
198904,0.8409070777896734,6847,143
198905,0.8453719374296365,6814,143
198906,0.8477995371979795,6816,143
198907,0.8566789527854368,6807,143
198908,0.8593100468628109,6775,143
198909,0.8520774653731278,6768,143
198910,0.8639588082472405,6751,143
198911,0.8357042131276001,6751,143
198912,0.865248496615245,6757,143
199001,0.8678354102560213,6761,143
199002,0.8391841711786588,6746,143
199003,0.8387750660381219,6750,143
199004,0.8373270049229651,6751,143
199005,0.8429844029313152,6744,143
199006,0.8428765784529492,6739,143
199007,0.8425518440956633,6740,143
199008,0.8462742487308256,6737,143
199009,0.8420662550435181,6709,143
199010,0.8301953067726924,6689,143
199011,0.8410457359641438,6679,143
199012,0.8553564335986596,6653,143
199101,0.8448682547197311,6637,143
199102,0.8612697937189928,6617,143
199103,0.8642815318229065,6596,143
199104,0.860196473214964,6594,143
199105,0.8412448312215806,6615,143
199106,0.8433819012623491,6627,143
199107,0.8515055429502856,6652,143
199108,0.8487679187463046,6683,143
199109,0.840614803293535,6687,143
199110,0.8534900894755826,6721,143
199111,0.851271848454344,6743,143
199112,0.8654900275823687,6757,143
199201,0.8668304366271167,6769,143
199202,0.8529295436234829,6779,143
199203,0.8425883727245046,6831,143
199204,0.866247180836979,6824,143
199205,0.8492789664847665,6810,143
199206,0.8545605951652391,6775,143
199207,0.855331569993394,6790,143
199208,0.8491310339859818,6805,143
199209,0.8652363728889855,6798,143
199210,0.857488304812112,6845,143
199211,0.8662706919705967,6873,143
199212,0.8731097304476831,6920,143
199301,0.8777980620786525,6942,143
199302,0.8609223133416147,6974,143
199303,0.8602398744075134,7043,143
199304,0.8845203696006736,7092,143
199305,0.8641973885404218,7155,143
199306,0.8508683172651714,7229,143
199307,0.8647180556876345,7295,143
199308,0.8591934703197415,7360,143
199309,0.864147618433295,7434,143
199310,0.8665053095482085,7507,143
199311,0.8668227299061431,7600,143
199312,0.8605157330989621,7720,143
199401,0.865109253688676,7757,143
199402,0.8638950356374114,7828,143
199403,0.8594193761578414,7894,143
199404,0.8722562859066951,7932,143
199405,0.8583107870953275,7990,143
199406,0.8541925945368493,8047,143
199407,0.8605973761080524,8058,143
199408,0.8532931946212539,8083,143
199409,0.8588922796154118,8087,143
199410,0.8590710743887536,8124,143
199411,0.8562694863651629,8128,143
199412,0.872547074640943,8137,143
199501,0.8690822854674947,8130,143
199502,0.8693040605111726,8124,143
199503,0.8614884240739098,8137,143
199504,0.8716462863795565,8152,143
199505,0.8729577407927922,8150,143
199506,0.8730614560302056,8185,143
199507,0.8840898428445273,8213,143
199508,0.8614644414224009,8261,143
199509,0.8701766703636857,8267,143
199510,0.8740926815495333,8304,143
199511,0.8594584142741977,8349,143
199512,0.8701695711810096,8399,143
199601,0.8714281692454047,8404,143
199602,0.8708833873445244,8434,143
199603,0.8776560296789417,8518,143
199604,0.8740874559741083,8567,143
199605,0.8619223250061012,8661,143
199606,0.8725778852233846,8723,143
199607,0.8637326244960725,8764,143
199608,0.8621380560128037,8815,143
199609,0.8784460680560329,8829,143
199610,0.8575739935059555,8913,143
199611,0.8731664720882606,8966,143
199612,0.8843334401065115,8986,143
199701,0.882124054561859,8987,143
199702,0.8830080087033345,8995,143
199703,0.8909722228268715,9002,143
199704,0.8832280962013914,9012,143
199705,0.8941668573815359,8992,143
199706,0.889981520417182,8999,143
199707,0.8919192619686911,9012,143
199708,0.8743944112295925,9003,143
199709,0.8900681520921552,9001,143
199710,0.8918727240021515,9046,143
199711,0.8760620499820793,9042,143
199712,0.8937901511517855,9036,143
199801,0.8934467742603867,9017,143
199802,0.9010764076365748,8989,143
199803,0.8949238314609963,8974,143
199804,0.8877061053201734,8975,143
199805,0.8942628227405621,8946,143
199806,0.9057519245059134,8939,143
199807,0.9011514600569126,8925,143
199808,0.9149534179430124,8872,143
199809,0.9067107087102005,8759,143
199810,0.9003650518606908,8713,143
199811,0.9013610223848393,8635,143
199812,0.9007713967688836,8616,143
199901,0.9122883807504077,8573,143
199902,0.9031936490981942,8496,143
199903,0.9106034087357359,8441,143
199904,0.9089688800818277,8421,143
199905,0.9071472008522425,8393,143
199906,0.9122027974786939,8378,143
199907,0.9065289536182591,8369,143
199908,0.9064435551379302,8345,143
199909,0.9040750684243192,8325,143
199910,0.9138213182046078,8307,143
199911,0.9045117350968388,8302,143
199912,0.9071354987367787,8295,143
200001,0.9275187305596135,8245,143
200002,0.9208784765557592,8223,143
200003,0.9144084784760791,8243,143
200004,0.9251335538079813,8260,143
200005,0.919242654009747,8233,143
200006,0.9135002837772951,8254,143
200007,0.9178486154913547,8263,143
200008,0.9083207415529327,8278,143
200009,0.9187737549369854,8222,143
200010,0.9177745730342802,8178,143
200011,0.918873213748909,8107,143
200012,0.9258551120710253,8029,143
200101,0.9247963930202484,7973,143
200102,0.9264484791826827,7914,143
200103,0.9322168169848809,7835,143
200104,0.9263542513675045,7750,143
200105,0.9239354739359539,7690,143
200106,0.919415840138104,7641,143
200107,0.9213995934707597,7566,143
200108,0.9243044232189066,7528,143
200109,0.9272607897383224,7497,143
200110,0.9145676249641042,7436,143
200111,0.9217773595489379,7409,143
200112,0.9314624475500957,7373,143
200201,0.935943174405083,7332,143
200202,0.9396425860192417,7295,143
200203,0.9375523695323306,7241,143
200204,0.9355243419878378,7209,143
200205,0.9357142126411591,7184,143
200206,0.9459459277458018,7157,143
200207,0.9496855008757581,7111,143
200208,0.9389124499974577,7076,143
200209,0.9373784190745146,7021,143
200210,0.9430920660935326,7005,143
200211,0.9371888119934902,6991,143
200212,0.9377830726713466,6958,143
200301,0.9355805990607016,6920,143
200302,0.9412080529452178,6857,143
200303,0.937491108526824,6816,143
200304,0.9364447309181739,6776,143
200305,0.9373491145383674,6750,143
200306,0.9379496363804286,6714,143
200307,0.9369592657881235,6690,143
200308,0.9336134335761371,6680,143
200309,0.9411579215362453,6671,143
200310,0.9406966530590316,6654,143
200311,0.9383161149401937,6641,143
200312,0.9364694180989743,6651,143
200401,0.9402541494482791,6642,143
200402,0.9433994357021663,6664,143
200403,0.9328497946014979,6657,143
200404,0.9310299828381808,6654,143
200405,0.9440008460784364,6649,143
200406,0.9380297318465161,6640,143
200407,0.9450085991739778,6658,143
200408,0.9453645424601809,6667,143
200409,0.9450360464031112,6666,143
200410,0.9437826762168288,6678,143
200411,0.9340704828049758,6679,143
200412,0.9292628819677633,6692,143
200501,0.9442630624648517,6686,143
200502,0.9417904316200407,6695,143
200503,0.940977845596666,6690,143
200504,0.9419692145760817,6682,143
200505,0.9449394731876003,6689,143
200506,0.9322779091426866,6703,143
200507,0.9383793230575398,6692,143
200508,0.934997479047604,6708,143
200509,0.9365325845194409,6692,143
200510,0.9469276249289585,6699,143
200511,0.9391016515108207,6695,143
200512,0.9384602642870854,6700,143
200601,0.9462110958612344,6681,143
200602,0.9458544843591605,6688,143
200603,0.9400657597831356,6684,143
200604,0.9442365297537944,6681,143
200605,0.9467851855243625,6700,143
200606,0.9385736802326922,6745,143
200607,0.9409515658256464,6751,143
200608,0.9446814237031866,6747,143
200609,0.9434251883784452,6737,143
200610,0.9461861530108762,6756,143
200611,0.9398195438803385,6764,143
