feature,delta_bar,std_err,t_stat,p_value,n_months,abs_delta_bar
grcapx,0.03437480668450399,0.006085924101415838,5.648247679675628,1.6209153567457377e-08,388,0.03437480668450399
EntMult,-0.03377915927100092,0.009702395573424715,-3.481527733575769,0.0004985621496732938,326,0.03377915927100092
BookLeverage,-0.03330692489488864,0.012066101266620123,-2.760371735568763,0.005773562441947037,431,0.03330692489488864
EquityDuration,0.03083115343576083,0.008269913770324603,3.7281106299311118,0.00019292069162291656,431,0.03083115343576083
dNoa,-0.03042035102157665,0.007085384944813343,-4.293394255712953,1.7596213940643747e-05,431,0.03042035102157665
XFIN,-0.029173267455997538,0.008351191415514636,-3.4933060451470634,0.0004770794057728497,431,0.029173267455997538
IntMom,-0.0290992306003185,0.006757779537331177,-4.306034317865679,1.662072828983486e-05,431,0.0290992306003185
PctAcc,-0.028118959188428133,0.007367793356227553,-3.8164695762891974,0.0001353747585925981,431,0.028118959188428133
ChNWC,-0.02803717715954271,0.005130174253982873,-5.465151040001362,4.625128144245567e-08,431,0.02803717715954271
AssetGrowth,-0.027755397466454293,0.006002099689379137,-4.624281318680553,3.758994186626639e-06,431,0.027755397466454293
ChEQ,-0.02581321660040814,0.01071188390505515,-2.4097737456084984,0.015962416132018088,431,0.02581321660040814
ReturnSkew3F,-0.02471923568870471,0.007553432150617082,-3.272583270200588,0.0010656947578418538,431,0.02471923568870471
MeanRankRevGrowth,-0.024362675073278193,0.007240419860265849,-3.364815237715187,0.0007659493117170828,197,0.024362675073278193
CashProd,-0.02316339559411671,0.01424040399313614,-1.6265968019784722,0.10382275898778535,431,0.02316339559411671
ChInv,-0.022278296661408088,0.004110654393728948,-5.419647220986269,5.971675639604961e-08,431,0.022278296661408088
PriceDelayRsq,-0.02193593882229574,0.009339584255293226,-2.3487061332375165,0.01883876839653224,427,0.02193593882229574
DelCOL,-0.02162828320824291,0.006100073937217569,-3.5455772226439985,0.0003917541827234949,431,0.02162828320824291
betaVIX,0.02112961387887753,0.0033724690053938706,6.265324854011462,3.7204896698001056e-10,431,0.02112961387887753
IntanCFP,0.020676053531821826,0.01514082364749703,1.3655831421852562,0.1720698407285718,123,0.020676053531821826
EP,-0.019184292909261005,0.017220628882706764,-1.1140297511739647,0.2652664234953538,94,0.019184292909261005
OPLeverage,0.019134665378361497,0.007702281893009781,2.4842852604144747,0.012981177441393623,431,0.019134665378361497
EarningsSurprise,0.018875479586658556,0.004996614562916237,3.7776537191297828,0.0001583127907874302,404,0.018875479586658556
ChAssetTurnover,0.018523166518815293,0.004796927448902417,3.8614648055712353,0.00011270924989985116,338,0.018523166518815293
LRreversal,-0.01801375321643884,0.008453234440213148,-2.130989427046415,0.033090013228313175,426,0.01801375321643884
hire,0.017922864934372253,0.005675042511128137,3.1581904275126536,0.0015875181999755322,431,0.017922864934372253
ResidualMomentum,0.017770629386621276,0.007715418571983138,2.3032618672370475,0.021264113771050388,431,0.017770629386621276
AnnouncementReturn,0.01740284900706516,0.003294929973666005,5.281705270264789,1.2798697584747805e-07,431,0.01740284900706516
BetaTailRisk,0.01632725025617613,0.009258306812557581,1.7635244312740348,0.07781208044646135,139,0.01632725025617613
BPEBM,0.01601747755261755,0.006483193611380117,2.470615334470601,0.013488081713816324,431,0.01601747755261755
BMdec,0.013678237516594983,0.0075783272610674204,1.8049151277571482,0.07108796416736397,431,0.013678237516594983
DelLTI,-0.012139564744028835,0.004039906043913234,-3.0049126420449888,0.002656571371616778,431,0.012139564744028835
IndMom,0.01194590234188165,0.006851340792763253,1.743586066321433,0.08123129469765068,431,0.01194590234188165
GP,-0.011433856294952754,0.0057147150663481375,-2.000774520200061,0.04541669445927408,431,0.011433856294952754
MomSeason,-0.011232107916622984,0.003214985794612828,-3.4936726424869433,0.00047642482553589526,431,0.011232107916622984
CBOperProf,0.010435012650548622,0.005758817171463376,1.8120062401454875,0.06998523231253355,221,0.010435012650548622
FEPS,0.009954141706697886,0.02808379085264543,0.35444437536680445,0.7230058835364732,363,0.009954141706697886
ChTax,0.009297980616864817,0.004432179109702635,2.097835034804954,0.0359197204662888,431,0.009297980616864817
InvestPPEInv,0.009123489937082965,0.004986168337187523,1.82975971128747,0.06728587771786833,427,0.009123489937082965
BM,-0.00837176542162742,0.007656991487390355,-1.0933491875254355,0.2742405142165353,356,0.00837176542162742
roaq,0.008049085161701943,0.008312993571896542,0.9682535048400873,0.33291777927739563,431,0.008049085161701943
RevenueSurprise,-0.007818271675457521,0.006793070112942135,-1.1509187371056535,0.24976566857434723,285,0.007818271675457521
cfp,0.007703379640110705,0.010210818824414271,0.7544330942090335,0.4505892058866281,431,0.007703379640110705
TotalAccruals,0.007473141198925276,0.00613797777790893,1.217524968210492,0.22340454258810782,431,0.007473141198925276
ExclExp,-0.006679875538348974,0.006901940087506767,-0.9678257784996203,0.3331313871306548,357,0.006679875538348974
BetaLiquidityPS,0.0065172078560963445,0.004442346585940533,1.4670642485938594,0.14235857850255662,431,0.0065172078560963445
EBM,-0.006454925402237484,0.009569619162284519,-0.6745227049031828,0.4999790557650221,431,0.006454925402237484
DelCOA,-0.0061881101131040115,0.00908333699111962,-0.6812595546277602,0.4957072704383422,431,0.0061881101131040115
MomSeason06YrPlus,0.005156159911897921,0.004780488145936926,1.0785843944159321,0.28077304116350765,236,0.005156159911897921
AnalystRevision,0.005115998847753048,0.0031778634129582687,1.6098863239029433,0.10742267514279541,346,0.005115998847753048
EarnSupBig,0.005008531356892185,0.00709249713233248,0.7061731944958927,0.48008043797521627,272,0.005008531356892185
Investment,0.004574470575011486,0.005990512092707131,0.7636192873361297,0.4450941520369419,269,0.004574470575011486
RoE,0.004537081012998883,0.006271912529261053,0.723396729758512,0.4694361797948964,431,0.004537081012998883
