Feature,Q1 (illiq),Q2,Q3,Q4,Q5 (liq),Q5-Q1
IndRetBig,0.0135 (5.97),0.0113 (4.92),0.0120 (5.14),0.0065 (2.23),0.0015 (0.11),-0.0120 (-0.83)
IntMom,-0.0037 (-1.71),0.0006 (0.30),-0.0018 (-0.83),-0.0023 (-0.89),0.0026 (0.98),0.0063 (2.17)
IntanBM,-0.0099 (-3.73),-0.0005 (-0.15),0.0024 (0.83),0.0020 (0.75),-0.0001 (-0.05),0.0098 (2.73)
IntanCFP,0.0084 (1.80),-0.0056 (-0.80),-0.0052 (-0.80),-0.0145 (-2.00),0.0056 (0.69),-0.0028 (-0.31)
IntanEP,0.0083 (1.82),0.0021 (0.36),0.0042 (0.68),0.0056 (0.62),-0.0086 (-1.01),-0.0168 (-1.79)
IntanSP,-0.0026 (-0.66),0.0087 (1.45),0.0050 (0.96),0.0052 (0.81),0.0046 (0.85),0.0072 (1.07)
InvGrowth,-0.0021 (-0.81),-0.0005 (-0.19),-0.0034 (-1.39),0.0034 (1.48),0.0001 (0.07),0.0022 (0.66)
InvestPPEInv,0.0028 (1.68),-0.0014 (-0.57),-0.0007 (-0.40),-0.0017 (-0.98),-0.0020 (-1.12),-0.0048 (-1.81)
Investment,0.0031 (1.89),0.0006 (0.36),0.0002 (0.13),-0.0018 (-1.07),0.0014 (0.84),-0.0018 (-0.74)
LRreversal,0.0018 (0.92),-0.0024 (-1.12),-0.0022 (-1.19),-0.0024 (-1.26),-0.0028 (-1.75),-0.0047 (-1.80)
Leverage,-0.0052 (-1.19),-0.0031 (-0.57),0.0131 (2.34),-0.0013 (-0.21),0.0205 (3.14),0.0258 (3.42)
MaxRet,-0.0069 (-1.82),0.0096 (2.32),0.0017 (0.43),0.0022 (0.59),-0.0021 (-0.57),0.0048 (0.90)
MeanRankRevGrowth,-0.0044 (-3.08),0.0008 (0.41),-0.0022 (-1.54),-0.0006 (-0.44),-0.0025 (-2.09),0.0019 (1.11)
Mom12m,0.0121 (4.11),0.0071 (1.64),0.0040 (0.98),0.0114 (2.74),0.0043 (0.73),-0.0079 (-1.12)
Mom12mOffSeason,0.0013 (0.47),0.0049 (1.25),0.0073 (1.86),0.0025 (0.70),0.0054 (0.98),0.0041 (0.67)
Mom6m,-0.0075 (-3.71),0.0036 (1.40),0.0021 (1.01),0.0003 (0.12),-0.0011 (-0.48),0.0064 (2.15)
MomOffSeason,-0.0015 (-0.96),-0.0027 (-1.51),-0.0005 (-0.23),0.0026 (1.31),0.0007 (0.34),0.0022 (0.90)
MomOffSeason06YrPlus,0.0024 (1.63),0.0009 (0.56),-0.0002 (-0.14),0.0029 (2.21),0.0023 (1.61),-0.0001 (-0.03)
MomSeason,0.0050 (4.09),0.0045 (2.75),0.0030 (2.49),0.0039 (2.59),0.0058 (3.37),0.0008 (0.37)
MomSeason06YrPlus,0.0024 (2.26),0.0028 (1.95),0.0018 (1.31),0.0027 (2.47),0.0040 (3.39),0.0017 (1.06)
MomSeason11YrPlus,0.0019 (1.71),-0.0007 (-0.41),0.0018 (1.31),0.0004 (0.34),0.0025 (2.05),0.0006 (0.35)
MomSeasonShort,0.0035 (2.17),0.0027 (1.36),0.0015 (0.96),0.0013 (0.76),0.0023 (1.04),-0.0012 (-0.47)
NOA,0.0010 (0.60),0.0017 (0.79),0.0015 (0.77),-0.0006 (-0.32),0.0001 (0.08),-0.0009 (-0.42)
NetDebtFinance,-0.0034 (-1.79),-0.0000 (-0.00),-0.0015 (-0.79),0.0018 (0.92),-0.0026 (-1.29),0.0008 (0.30)
NetDebtPrice,0.0023 (0.80),0.0039 (1.07),0.0039 (1.25),0.0036 (1.11),0.0050 (1.42),0.0027 (0.63)
NetEquityFinance,-0.0026 (-1.38),-0.0034 (-1.71),-0.0056 (-2.96),-0.0023 (-1.22),-0.0004 (-0.20),0.0023 (0.88)
NetPayoutYield,-0.0061 (-2.60),-0.0009 (-0.36),-0.0022 (-1.14),-0.0028 (-1.33),0.0022 (0.73),0.0083 (2.10)
OPLeverage,0.0071 (3.65),0.0040 (1.76),0.0025 (1.44),0.0016 (0.90),0.0010 (0.64),-0.0061 (-2.74)
PctAcc,0.0042 (2.98),-0.0003 (-0.18),-0.0000 (-0.02),0.0001 (0.07),0.0005 (0.28),-0.0037 (-1.61)
PctTotAcc,-0.0007 (-0.51),-0.0016 (-0.88),0.0009 (0.65),0.0003 (0.20),0.0013 (0.90),0.0020 (1.03)
Price,0.0084 (3.41),0.0078 (2.31),0.0061 (1.67),0.0037 (0.97),0.0057 (1.29),-0.0027 (-0.56)
PriceDelayRsq,0.0002 (0.09),-0.0022 (-1.71),-0.0020 (-1.39),-0.0025 (-1.61),-0.0002 (-0.10),-0.0004 (-0.18)
RD,0.0144 (6.07),0.0144 (5.52),0.0102 (3.88),0.0069 (2.79),0.0044 (2.01),-0.0100 (-3.85)
RDS,-0.0016 (-0.99),-0.0017 (-1.24),0.0003 (0.38),-0.0001 (-0.10),0.0006 (0.87),0.0021 (1.23)
REV6,0.0066 (4.80),0.0060 (3.91),0.0036 (2.42),0.0013 (0.89),-0.0007 (-0.43),-0.0073 (-3.12)
RealizedVol,0.0170 (2.65),0.0056 (0.82),0.0099 (1.49),0.0065 (0.96),0.0074 (1.33),-0.0096 (-1.51)
ResidualMomentum,-0.0015 (-1.29),-0.0026 (-2.08),-0.0015 (-1.12),-0.0043 (-3.57),-0.0017 (-1.21),-0.0001 (-0.09)
ReturnSkew,0.0039 (2.65),-0.0028 (-1.51),-0.0032 (-1.95),-0.0010 (-0.67),-0.0022 (-1.38),-0.0061 (-2.55)
ReturnSkew3F,-0.0025 (-2.33),-0.0007 (-0.66),-0.0001 (-0.08),-0.0015 (-1.36),-0.0013 (-1.36),0.0011 (0.76)
RevenueSurprise,0.0079 (6.56),0.0032 (2.13),0.0014 (1.24),0.0011 (1.08),0.0009 (0.88),-0.0069 (-3.88)
RoE,-0.0010 (-0.51),-0.0031 (-1.63),0.0026 (1.29),0.0016 (1.06),-0.0002 (-0.14),0.0008 (0.32)
STreversal,0.0258 (8.68),0.0095 (4.39),0.0082 (3.98),0.0058 (2.87),0.0040 (2.31),-0.0218 (-6.79)
ShareIss1Y,0.0035 (2.39),-0.0012 (-0.77),0.0005 (0.36),0.0020 (1.63),-0.0004 (-0.36),-0.0039 (-2.09)
ShareIss5Y,-0.0054 (-2.49),0.0014 (0.66),0.0033 (1.86),0.0003 (0.14),0.0010 (0.78),0.0064 (2.64)
Size,0.0044 (1.49),0.0034 (0.54),-0.0082 (-1.38),-0.0138 (-1.75),-0.0032 (-0.36),-0.0077 (-0.83)
Tax,-0.0027 (-2.16),0.0012 (0.87),0.0004 (0.43),0.0027 (2.48),0.0003 (0.26),0.0030 (1.80)
TotalAccruals,0.0012 (0.57),0.0008 (0.33),-0.0022 (-0.87),-0.0003 (-0.14),-0.0023 (-1.03),-0.0034 (-1.12)
TrendFactor,0.0072 (2.19),0.0105 (5.38),0.0096 (5.71),0.0076 (4.54),0.0102 (5.16),0.0030 (0.91)
VolSD,0.0026 (1.03),0.0092 (3.47),0.0043 (1.41),0.0039 (1.18),0.0034 (1.15),0.0008 (0.22)
XFIN,0.0059 (2.68),0.0047 (2.20),0.0030 (1.63),-0.0009 (-0.42),0.0023 (1.09),-0.0036 (-1.19)
betaVIX,0.0028 (2.81),0.0007 (0.62),0.0009 (0.95),0.0007 (0.56),0.0042 (2.83),0.0014 (0.87)
cfp,0.0007 (0.29),0.0073 (2.76),0.0053 (2.05),0.0049 (1.52),-0.0004 (-0.11),-0.0011 (-0.24)
dNoa,-0.0008 (-0.37),-0.0048 (-1.71),-0.0003 (-0.11),0.0001 (0.04),0.0009 (0.40),0.0017 (0.57)
grcapx,0.0023 (1.59),0.0007 (0.30),0.0034 (1.71),-0.0001 (-0.03),0.0013 (0.58),-0.0010 (-0.39)
grcapx3y,-0.0065 (-2.82),-0.0004 (-0.14),-0.0025 (-1.17),0.0081 (3.25),0.0010 (0.42),0.0076 (2.04)
hire,-0.0004 (-0.33),-0.0021 (-1.73),-0.0007 (-0.64),-0.0029 (-2.63),-0.0012 (-1.32),-0.0009 (-0.63)
roaq,0.0138 (6.33),0.0050 (1.96),0.0015 (0.67),0.0036 (1.68),0.0033 (1.50),-0.0104 (-3.32)
std_turn,0.0006 (0.33),0.0020 (0.96),0.0116 (2.78),0.0170 (1.90),0.0438 (1.62),0.0432 (1.61)
zerotrade12M,0.0017 (0.53),-0.0029 (-0.92),-0.0070 (-2.21),-0.0126 (-2.91),-0.0058 (-0.87),-0.0075 (-1.06)
zerotrade1M,-0.0015 (-0.72),0.0020 (0.72),-0.0068 (-2.45),-0.0043 (-1.57),-0.0012 (-0.33),0.0003 (0.08)
zerotrade6M,0.0050 (1.36),0.0067 (1.83),0.0100 (2.54),0.0101 (2.33),-0.0005 (-0.07),-0.0055 (-0.72)
