yyyymm,Q1_cs,Q1_zero,Q2_cs,Q2_zero,Q3_cs,Q3_zero,Q4_cs,Q4_zero,Q5_cs,Q5_zero,Full_cs,Full_zero
201010,-0.011242385419167666,-0.012145999055036327,-0.022788657747766283,-0.0006364625007753144,-0.02849274629251375,0.006643396162133719,0.006195223941461325,0.032795437209313105,-0.004576212460140949,0.010379757575421533,-0.013867052473644614,-0.0034905018705331248
201011,-0.07318709045297722,0.06614799125740067,-0.2273566415668442,0.03182322849461927,-0.453099527441315,0.04041279178793977,-0.42921670859509153,0.06814126563057787,-0.6515690292005787,0.06670661084654916,-0.1857672368776797,0.05566283675828887
201012,0.06846125166872363,0.08916987228329865,-0.08686856825562939,-0.15305856793023653,-0.058054072471281915,-0.06326310329087881,-0.04494540742857134,-0.014678355465266746,-0.07455331685723632,-0.02897308521573616,0.026792085343389727,0.03891299748731791
201101,-0.025480319618800262,0.007374438246043558,-0.04656938978889724,0.01784754739805916,-0.1281996465583879,0.031675050180067,-0.16321910864185973,0.04540378663273181,-0.23803838523944676,0.05614672198973192,-0.05468591479204732,0.016826608100630525
201102,-0.0006003784788028987,-0.003214816747009408,-0.0033581401219779927,0.0030002888160495234,-0.003969137697041214,0.008938262372791939,-0.01534226865359889,0.01910838964511874,-0.005491392589211719,0.01468224118032968,-0.00282159345969335,0.0020882775924158103
201103,-0.0018164942905318782,-0.012279576299210504,-0.015334071580194397,0.01306226020750334,-0.034665683877653786,0.01515579702560288,-0.07422471072063908,0.03440180152245953,-0.09762073927176074,0.055634206034249734,-0.019913187772191865,0.005320379576459366
201104,-0.0374560423659871,-0.022722849130218936,-0.061923978923284606,-0.02477009636289873,-0.07464602596843362,-0.02790406201747353,-0.09848646597083333,-0.037450445396455256,-0.0722768487003651,-0.039724019716936176,-0.0538369668976022,-0.025727970808286926
201105,-0.046146814423162485,-0.019160463552782225,-0.11018774160513889,-0.039338257943974275,-0.15545916115816216,-0.04908303947610282,-0.24628791156805674,-0.07298373193193486,-0.24002752265778393,-0.08605844389439987,-0.08688660980442897,-0.03177557763562233
201106,0.020363256158083543,0.007109216124714712,-0.1019495397736454,-0.025199658400445024,-0.16511683172564595,-0.03464663266043577,-0.1849067314962891,-0.043563509294894054,-0.1938769433383376,-0.050117925685260634,-0.05773557459074907,-0.013592634788051283
201107,-0.36616690250132367,-0.060953522490150736,-0.6858217989139075,-0.06545360227224739,-0.6984890509496164,-0.05952717020985698,-0.5745538678525786,-0.061723238737748876,-0.7018295799097249,-0.06920876031546808,-0.531144652260167,-0.062456808678384546
201108,-0.46738186210866606,-0.0482412485114625,-0.9325771183965998,-0.04681976473029881,-1.2656607036399303,-0.045391729360633404,-1.2042168811106033,-0.0450516746186751,-1.182970923764596,-0.05197501135661131,-0.7975488094777252,-0.04737052320628443
201109,-0.03133305767998884,0.029763029541467145,-0.7611619714562055,0.04807266440113078,-1.027123037552871,0.04726564120724752,-1.1557956829782539,0.05011344642099702,-1.1817006252024456,0.05395511719006685,-0.4563616734392244,0.04167129301625583
201110,-0.05957223135810108,-0.02995308457824941,-0.03545871272776058,-0.016128316113533936,-0.024884711147127092,-0.015297179627030921,-0.03606130250284645,-0.023317589088050594,-0.04799576014071394,-0.031439512110984724,-0.04739996538244129,-0.02446768836502633
201111,-0.014845653967941574,-0.014010434747301792,0.0025775386752835416,0.0006470398283109358,-0.0041722763539240315,-0.0055734192387209,-0.0007568860940572186,-0.0024325681199093285,-0.05690828257987679,-0.04666479904091081,-0.011716443486239125,-0.011352897134915274
