feature,avg_importance,neg_illiq_relatedness,is_focal,spearman_rho
TrendFactor,0.006307028054904442,-0.0004635834979950853,False,0.07125390910905584
MomSeason,0.005525342909849669,-0.09893591139106757,False,0.07125390910905584
IndMom,0.013307510898526347,-0.010382476461922883,False,0.07125390910905584
MomOffSeason,0.008398858670310313,0.26497909664114383,False,0.07125390910905584
EarnSupBig,0.010425052865654386,-0.005779389797706262,False,0.07125390910905584
EntMult,0.006831276983904137,0.18419407300400886,False,0.07125390910905584
FEPS,0.009028028174269164,-0.47559684554307957,False,0.07125390910905584
IntanCFP,0.00461073812404114,0.1913163805208065,False,0.07125390910905584
EP,0.0021882834390699493,0.1465453200936026,True,0.07125390910905584
NetPayoutYield,0.003625036104750418,-0.21298867783386655,False,0.07125390910905584
EarningsStreak,0.005236136774924926,-0.11848072964910203,False,0.07125390910905584
IntanEP,0.0036495059257899256,0.18874522852355244,False,0.07125390910905584
Investment,0.003581720529697237,0.093220277288282,False,0.07125390910905584
REV6,0.006179705598970909,-0.04365522584591761,False,0.07125390910905584
IntanBM,0.00339686168929291,0.36667306585478654,False,0.07125390910905584
ForecastDispersion,0.0023599006309575556,-0.22363663990030053,False,0.07125390910905584
