yyyymm,r2_std_cs,r2_wtd_cs,r2_std_zero,r2_wtd_zero
201201,-0.035357397211514874,-0.20832429266217622,0.041253112609101916,0.08989137715470097
201202,-0.006479430543872899,-0.05394730015372562,0.018604286918854185,0.05399216079609814
201203,-0.017619925386715973,-0.09902316401556055,-0.012592152803655443,-0.059113935821077934
201204,-0.30728193627268197,-0.8846474169309246,-0.042034062511426384,-0.0826892951619218
201205,-0.07127656513000957,-0.14820622751358337,0.024784947314174133,0.06737692373419146
201206,-0.01192582113404006,0.005550897620775319,-0.010473668064945763,-0.0009028639621402323
201207,-0.031640603418856106,-0.14365556953477565,0.014416210723545153,0.05801966528591784
201208,-0.04300481405649714,-0.0768332534906857,0.03403856163245145,0.06376417195596562
201209,-0.04451195313476264,-0.12053815638419718,-0.02730507847184782,-0.06205924758532699
201210,-0.0039035003032419358,0.012293026603113932,-0.003569067653994784,0.019876373794698088
201211,-0.011981819924957948,0.006320615521478223,0.03010153796695214,0.03320323366724953
201212,-0.2053507120103204,-0.09929612531305998,0.06676977862730438,0.07034599848089751
201301,-0.004079604753209898,-0.0074135992407526885,-0.002184587139033356,-0.009003866800694427
201302,-0.030405688551284893,-0.1570414315948494,0.056243983855263635,0.12190574230173146
201303,-0.016804342867312805,0.019190150130427575,-0.016659644196346468,0.025661225829795242
201304,-0.0016226948234543404,-0.06740176131669373,0.04492916770702371,0.057054763738483616
201305,-0.0011350464934611892,-0.12432613571642093,0.006115718172486795,-0.05587061171273855
201306,-0.14987665298708008,-0.4129495239999321,0.03134406091616648,0.07189296747645413
201307,-0.04753234855312205,-0.2283020774232516,-0.026768768741342486,-0.18733178635330794
201308,-0.08835449703700093,-0.14881635442921515,0.06407201185961531,0.09873130832440113
201309,-0.01699283779361993,-0.11084901071142128,0.02837840807374037,0.05568681255922536
201310,-0.009931991538271179,-0.04558279971172552,0.03535847197644515,0.05392831085650274
201311,-0.028671470333575977,-0.12175372420197306,0.027387906548488994,0.06084846480453765
201312,-0.022253917704132764,-0.01660376840266453,-0.021939885366107692,-0.029296923556610954
201401,-0.19609113144496915,-0.5277483533270622,-0.02106819767769208,-0.028813262080592983
201402,-0.004652729556842372,-0.009170022933721489,-0.004643930575993549,-0.010595469652549871
201403,-0.07258380398582354,-0.011713593225583852,0.0019920910060866603,-0.021477821358388383
201404,-0.016079981433898105,-0.08879981930244485,-0.013277620822783387,-0.037021629571016845
201405,-0.17414878815167123,-0.34094774123724103,-0.021226627600051895,-0.02590669672542467
201406,-0.18901742208503536,-0.06567348104627402,-0.028651215929932805,-0.03978547008928923
201407,-0.03746674639779246,-0.21091400647939929,0.04657576812246855,0.13397444023847205
201408,-0.3257524366413005,-0.3892685514928602,-0.13688281436653393,-0.22542729585146692
201409,0.00053788424940171,-0.009279565327974915,0.015167081211832079,0.028429321088417225
201410,-0.005841422246806616,0.03077480068949956,-0.005117674601135214,0.01778181890617314
201411,-0.002513874223160295,-0.0734675429399756,-0.0022310040980488832,-0.08781716898603653
201412,-0.0386956723448062,-0.1116144755465871,-0.011902320712318337,-0.031534814536847255
201501,-0.1296548175505885,-0.5738735739667793,0.020702311980851262,0.029432870152642177
201502,0.0032498476072853055,-0.08445709620985853,0.00438808732541307,-0.06511672428615678
201503,0.0006108109597779965,-0.007756611565696181,0.006181360920525125,0.009272918441323275
201504,0.00431337895634587,0.010869022774450565,0.005918745934683667,0.028917902120156547
201505,-0.06685029178514768,-0.296038005240127,-0.05484529293991791,-0.20018701571972675
201506,-0.06031019987969333,0.08569877419692229,-0.0018737236112176259,-0.013082890083665033
201507,-0.07679157151805649,-0.8027112298886738,-0.011519899485424201,-0.11846833760942133
201508,-0.20361729913191495,-0.4012897951289589,-0.025474014229671882,-0.08093125997939388
201509,-0.11281517314669953,-0.3547742481297018,0.02802073044251907,0.06364251627659911
201510,-0.0008408510501691779,-0.010443416679848161,0.0008218121721845772,-0.007953746166061482
201511,-0.10813710331872328,-0.09083880114869758,-0.017919374016602596,-0.04120347021150628
201512,-0.28828487546518855,-0.5070108462287464,0.036864305398874864,0.021935165590220795
201601,-0.11586280966030071,-0.24241206134237236,-0.11406139117711978,-0.2477085680422333
201602,-0.17866525037801062,-0.46179322338345563,0.04319605258271597,0.09256015641486803
201603,0.0039081435906800355,0.03148110494766365,0.06796973388482697,0.042113093249703026
201604,-0.007511884892892118,-0.012869769612698034,-0.007510052558860947,-0.013572196242206402
201605,0.009799733385464804,-0.007479821040912604,0.01066344979046463,-0.015246146645215841
201606,-0.056683075145970596,-0.20647369144757355,0.05278086297500806,0.13430704944224103
201607,-0.006120002809167913,-0.009930171490544648,0.005315044016984349,-0.01315431566362335
201608,-0.0004710382879820063,-0.016863396754730475,0.010881262111627432,-0.016369779063774237
201609,-0.3052624300400737,-0.21597448941109398,-0.11758738649900935,-0.12030859078758072
201610,-0.0833402216258452,-0.08349983894764557,0.0364380933506403,0.060513540229997775
201611,-0.0030180396404038135,-0.0005677789686515666,0.014546959677034121,0.01947613157185113
201612,-0.016030114559332453,-0.055277421458518994,0.02097649555960457,0.060669067102768315
201701,-0.01392019323673388,-0.05779667152917711,0.005663363055395831,0.07145707617985553
201702,-0.005088755852414639,-0.0037680234087873465,-0.002281337023101182,-0.0052954390923734
201703,-0.012077585922355416,-0.0006343041468253041,-0.011583744127799722,0.0036722631920408366
201704,-0.04526537554038601,0.08109622300276775,-0.030055044023206356,0.017790982262773314
201705,0.012716776317506784,0.035489408398664546,0.03703480092970857,0.0125230391957456
201706,-0.013760269975276573,0.024793121172608346,-0.010340740791649816,0.07189648875614207
201707,-0.03705980575816903,-0.012862689965774221,-0.028760473172093848,-0.03284000030881695
201708,-0.06757745941260862,0.06705844517811499,0.041595955464607814,0.0674569440598356
201709,-0.005122947739512496,0.04577062127263032,-0.0051151595818259565,0.044083681895162985
201710,-0.006048873199770544,-0.05080258285069328,0.015360937495508487,0.029080842702950638
201711,-0.008030075289891414,-0.027068617551548657,-0.00020674404362042154,0.005804993908719469
201712,-0.010014281433115224,-0.11188377277634087,0.028724383561393285,0.0938682573952454
201801,-0.21427399268461844,-0.3435208819452318,-0.060510820825664835,-0.10682351628246312
201802,-0.0017387359522336165,-0.07717640358745892,-0.0016205235457638079,-0.0925080701592984
201803,-0.0017504550502360772,0.007156397996785913,0.002684070266761762,0.012020265598196356
201804,-0.027815124484080744,-0.10540556919720867,0.019334160690152036,0.0693310840068132
201805,0.0029205068301938475,-0.0047553775361679484,0.0034652530172104568,0.00010989811145967199
201806,-0.22034912757369618,-0.11482643152519323,-0.21957557504220482,-0.0998454358444989
201807,-0.05652693329223557,-0.07439555164416634,-0.03332549363494408,0.011922166850455107
201808,-0.1728819794668457,-0.15808587902789228,-0.16127763059757894,-0.16945544105578692
201809,-0.7809731844806185,-1.2590334821036455,-0.25531060999742317,-0.2619390615719339
201810,-0.14134406271626698,-0.0729749312567527,-0.14071390165192055,-0.08288810453047435
201811,-1.3468152137658982,-2.7642036119966567,-0.32715090571097516,-0.3706277371542417
201812,-0.08504317889323554,-0.609571647088057,0.06557390773976812,0.19233532694054212
201901,-0.04095512712473526,-0.07959383734575987,0.03449735313000424,0.07325848770468335
201902,-0.013456760815374613,0.061581342886551815,-0.010903049283197186,0.022862787126527895
201903,-0.0034288216141529215,-0.03691777427549625,0.017717759151337664,0.0734251799790171
201904,-0.31341366797748216,-0.8372235084284849,-0.06889000481633034,-0.11808527418875414
201905,-0.057002945096567226,-0.4537527402212935,0.03721794172362325,0.121382826203139
201906,-0.01742540705764828,0.06797248414753732,-0.013420104342358075,0.02390627041943716
201907,-0.14107070450520776,-0.13958196378731969,-0.03939204338969571,-0.062124460507336554
201908,-0.002563824362514122,0.01755873763777549,0.011829049497033006,0.004062089428885196
201909,-0.0021177505908025474,0.03148893850922685,-0.0018493943684225744,0.043093376482237655
201910,-0.009402371759916095,-0.09757704080562779,0.013691556642481784,0.08846577500594566
201911,-0.03158448671074243,-0.02624855704291784,0.028468673119548815,0.07368808052649645
201912,-0.010254097609247559,0.016126800570863353,-0.006729789088434135,-0.00405275847234865
202001,-0.19221640923304206,-0.6612520255317182,-0.04437561045560012,-0.1273099035684404
202002,-1.1640126634769987,-0.9334504780345656,-0.07889836676329365,-0.0995731768014052
202003,-0.27728220005516513,-0.7871018469813684,0.04115271659490638,0.07176472363275233
202004,-0.06963601620148441,-0.20307172889897473,0.01744566413000781,0.05785766478086252
202005,-0.034250511998849875,-0.14517898556548436,0.011521441614037897,0.049829319739890354
202006,-0.019742220169111757,-0.08058443367236223,0.010654777891282219,0.048638690659848605
202007,-0.02276401924701532,-0.1081813343058986,0.01733927839314786,0.036315185334344635
202008,-0.04433995850282102,-0.20459717533056154,-0.01565807914855233,-0.06332644312573765
202009,0.004898361797786688,-0.027882755380270297,0.005233269601045865,-0.04592110485574863
202010,-0.4744174717812615,-0.6565165493713685,0.0171478850355401,0.033901833371153156
202011,-0.09907043510794389,0.008814965186540014,0.009843786227639373,0.036270709707586724
202012,-0.041421561119781014,-0.017229220776903365,0.0014207918603281744,0.002644677691076902
202101,-0.10318299161073341,0.12414084988868657,0.021812399696147455,0.0029204800181176216
202102,0.0003595770235460538,0.0016078772514107609,0.003514546157399323,-0.001505605373773422
202103,-0.0015420607559462063,-0.02902957406301465,0.003512845336328674,0.027109112980040484
202104,-0.0014925947035298037,0.023728378840266462,0.005912105855676919,-0.008144426254353965
202105,-0.013224873374840573,-0.0748118745690376,0.00975017585935789,0.019486417980680182
202106,-0.11980286680737096,-0.07749056622422112,-0.03191338135524524,-0.015487394853809677
202107,-0.006790240192146024,-0.03319405054837499,0.009747274323171573,0.029294152199585644
202108,-0.06259563510917499,-0.2710912553238687,-0.024141599330445906,-0.0731621813507477
202109,-0.010586534597370356,-0.07799345661069856,0.012556132056434799,0.040634043778174034
202110,-0.12284143567061512,-0.012719071293358697,-0.024475268408958417,-0.01849231651541494
202111,-0.009804513235696755,-0.03137253688099739,-0.007307964197879935,-0.019310894752697205
202112,-0.3416060247250874,-0.6777803409476784,-0.051255410398097556,-0.07228237763231671
202201,-0.010263647203226256,-0.08020166550563812,-0.008403892719977879,-0.05025438205423116
